507    1062
481     540
___________________________________________________________
Result of Year   2010   :
541     600
___________________________________________________________
Result of Year   2015   :
28018 28018
-100.0 ab initio , arabidopsis thaliana
-100.0 adaboost , microarray analysis
-100.0 adaboost , mitochondrial proteins
-100.0 adaboost , movement disorders
-100.0 adaboost , natural language
-100.0 adaboost , objective assessment
-100.0 adaboost , obstructive sleep apnea
-100.0 adaboost , ovarian cancer
-100.0 adaboost , prostate
-100.0 adaboost , prostate cancer
-100.0 adaboost , protein classification
-100.0 adaboost , protein secondary structure
-100.0 adaboost , rna-seq data
-100.0 adaboost , seizure prediction
-100.0 adaboost , sleep disorders
-100.0 adaboost , social interaction
-100.0 adaboost , spectral power
-100.0 adaboost , standard automated perimetry
-100.0 adaboost , thyroid nodule
-100.0 adaboost , thyroid nodules
-100.0 adaboost , treatment planning
-100.0 adaboost , visual field
-100.0 adaptive boosting , brain mri
-100.0 adaptive boosting , cognitively normal
-100.0 adaptive boosting , eeg signal
-100.0 adaptive boosting , magnetic resonance images
-100.0 adaptive boosting , multiple sclerosis
-100.0 adaptive boosting , optical coherence tomography
-100.0 adaptive boosting , retinal nerve fiber layer
-100.0 adaptive boosting , sleep
-100.0 adaptive neuro-fuzzy inference system , antibiotic resistance
-100.0 adaptive neuro-fuzzy inference system , antimicrobial peptides
-100.0 adaptive neuro-fuzzy inference system , breast cancer
-100.0 adaptive neuro-fuzzy inference system , cancer
-100.0 adaptive neuro-fuzzy inference system , cancer treatment
-100.0 adaptive neuro-fuzzy inference system , chemical properties
-100.0 adaptive neuro-fuzzy inference system , disabled people
-100.0 adaptive neuro-fuzzy inference system , eeg signal
-100.0 adaptive neuro-fuzzy inference system , eye movement
-100.0 adaptive neuro-fuzzy inference system , eyes open
-100.0 adaptive neuro-fuzzy inference system , medical image
-100.0 adaptive neuro-fuzzy inference system , molecular modeling
-100.0 adaptive neuro-fuzzy inference system , peptide
-100.0 adaptive neuro-fuzzy inference system , protein
-100.0 adaptive neuro-fuzzy inference system , protein function
-100.0 adaptive neuro-fuzzy inference system , protein sequence
-100.0 adaptive neuro-fuzzy inference system , protein sequences
-100.0 adaptive neuro-fuzzy inference system , quality of life
-100.0 adaptive neuro-fuzzy inference system , sleep
-100.0 adaptive neuro-fuzzy inference system , survival rate
-100.0 annotated corpus , blood vessel
-100.0 annotated corpus , blood vessels
-100.0 annotated corpus , chemical entities
-100.0 annotated corpus , data resources
-100.0 annotated corpus , disease progression
-100.0 annotated corpus , drug design
-100.0 annotated corpus , suicide notes
-100.0 annotated data , brain activity
-100.0 annotated data , cancer risk
-100.0 annotated data , chemical entities
-100.0 annotated data , disease progression
-100.0 annotated data , genetic variants
-100.0 annotated data , human brain
-100.0 annotated data , infectious disease
-100.0 annotated data , infectious diseases
-100.0 annotated data , medical records
-100.0 annotated data , patient care
-100.0 annotated data , post-translational modification
-100.0 annotated data , protein function
-100.0 annotated data , risk assessment
-100.0 annotated data , suicide notes
-100.0 anomaly detection , fundus image
-100.0 anomaly detection , in vivo
-100.0 anomaly detection , motor activity
-100.0 anomaly detection , real-world data
-100.0 anomaly detection , vital signs
-100.0 appearance model , brain mri
-100.0 appearance model , cancer screening
-100.0 appearance model , computed tomography
-100.0 appearance model , computer-assisted diagnosis
-100.0 appearance model , facial expressions
-100.0 appearance model , human body
-100.0 appearance model , in vivo
-100.0 appearance model , lung cancer
-100.0 appearance model , lung cancer screening
-100.0 appearance model , magnetic resonance images
-100.0 applicability domain , cell types
-100.0 applicability domain , genome sequencing
-100.0 applicability domain , high risk
-100.0 applicability domain , molecular imaging
-100.0 applicability domain , natural product
-100.0 applicability domain , peptide binding
-100.0 applicability domain , protein interaction
-100.0 approximate entropy , amino acid composition
-100.0 approximate entropy , clinical diagnosis
-100.0 approximate entropy , congestive heart failure
-100.0 approximate entropy , diabetes
-100.0 approximate entropy , diabetes mellitus
-100.0 approximate entropy , drugs
-100.0 approximate entropy , ecg signal
-100.0 approximate entropy , emg signal
-100.0 approximate entropy , hand motion
-100.0 approximate entropy , hearing loss
-100.0 approximate entropy , heart failure
-100.0 approximate entropy , protein
-100.0 approximate entropy , protein sequence
-100.0 approximate entropy , pseudo amino acid composition
-100.0 approximate entropy , sleep
-100.0 approximate entropy , sleep apnea
-100.0 approximate entropy , traditional chinese medicine
-100.0 artificial intelligence , adipose tissue
-100.0 artificial intelligence , adverse outcomes
-100.0 artificial intelligence , adverse reactions
-100.0 artificial intelligence , antibiotic resistance
-100.0 artificial intelligence , antimicrobial peptides
-100.0 artificial intelligence , bladder cancer
-100.0 artificial intelligence , blood-brain barrier
-100.0 artificial intelligence , brain connectivity
-100.0 artificial intelligence , bundle branch block
-100.0 artificial intelligence , cerebral blood flow
-100.0 artificial intelligence , chronic hepatitis c
-100.0 artificial intelligence , clinical deterioration
-100.0 artificial intelligence , clinical study
-100.0 artificial intelligence , ct colonography
-100.0 artificial intelligence , dorsolateral prefrontal cortex
-100.0 artificial intelligence , drug abuse
-100.0 artificial intelligence , escherichia coli
-100.0 artificial intelligence , executive function
-100.0 artificial intelligence , gene interactions
-100.0 artificial intelligence , genetic interactions
-100.0 artificial intelligence , genome annotation
-100.0 artificial intelligence , human immunodeficiency virus
-100.0 artificial intelligence , in situ hybridization
-100.0 artificial intelligence , land cover
-100.0 artificial intelligence , liver fibrosis
-100.0 artificial intelligence , long-term monitoring
-100.0 artificial intelligence , lower extremity
-100.0 artificial intelligence , major histocompatibility complex
-100.0 artificial intelligence , membrane protein
-100.0 artificial intelligence , memory retrieval
-100.0 artificial intelligence , microarray analysis
-100.0 artificial intelligence , minimally conscious state
-100.0 artificial intelligence , molecular modeling
-100.0 artificial intelligence , molecular networks
-100.0 artificial intelligence , motor activity
-100.0 artificial intelligence , motor cortex
-100.0 artificial intelligence , obstructive sleep apnea
-100.0 artificial intelligence , peptide binding
-100.0 artificial intelligence , protein profiles
-100.0 artificial intelligence , recurrence risk
-100.0 artificial intelligence , saccharomyces cerevisiae
-100.0 artificial intelligence , sequence motifs
-100.0 artificial intelligence , sign language
-100.0 artificial intelligence , trabecular bone
-100.0 artificial intelligence , urothelial carcinoma
-100.0 association rules , amino acid composition
-100.0 association rules , blood glucose
-100.0 association rules , cause of death
-100.0 association rules , clinical practice
-100.0 association rules , coronary angiography
-100.0 association rules , coronary artery
-100.0 association rules , coronary artery disease
-100.0 association rules , diagnostic performance
-100.0 association rules , dna methylation
-100.0 association rules , dna sequence
-100.0 association rules , medical image
-100.0 association rules , microscopic images
-100.0 association rules , myocardial perfusion
-100.0 association rules , protein sequence
-100.0 association rules , protein subcellular localization
-100.0 association rules , stem cell
-100.0 association rules , subcellular location
-100.0 association rules , tissue properties
-100.0 association rules , vascular disease
-100.0 association rules , world health organization
-100.0 automated assessment , anatomical landmarks
-100.0 automated assessment , blood flow
-100.0 automated assessment , cancer
-100.0 automated assessment , cancer diagnosis
-100.0 automated assessment , diabetes
-100.0 automated assessment , diabetic retinopathy
-100.0 automated assessment , early diagnosis
-100.0 automated assessment , mild cognitive impairment
-100.0 automated assessment , spectral power
-100.0 automated diagnosis , acute myeloid leukemia
-100.0 automated diagnosis , clinical validation
-100.0 automated diagnosis , flow cytometry
-100.0 automated diagnosis , heart disease
-100.0 automated diagnosis , human diseases
-100.0 automated diagnosis , major depressive disorder
-100.0 automated diagnosis , microscopic images
-100.0 automated diagnosis , molecular classification
-100.0 automatic segmentation , breast cancer diagnosis
-100.0 automatic segmentation , capsule endoscopy
-100.0 automatic segmentation , clinical study
-100.0 automatic segmentation , computer-assisted diagnosis
-100.0 automatic segmentation , diagnostic information
-100.0 automatic segmentation , differential diagnosis
-100.0 automatic segmentation , disease management
-100.0 automatic segmentation , dna repair
-100.0 automatic segmentation , dynamic contrast-enhanced magnetic resonance imaging
-100.0 automatic segmentation , human error
-100.0 automatic segmentation , intensive care
-100.0 automatic segmentation , inter-rater reliability
-100.0 automatic segmentation , measurement error
-100.0 automatic segmentation , optic nerve head
-100.0 automatic segmentation , pharmacokinetic parameters
-100.0 automatic segmentation , prefrontal cortex
-100.0 automatic segmentation , preterm infants
-100.0 automatic segmentation , rapid detection
-100.0 automatic segmentation , retinal nerve fiber layer
-100.0 automatic segmentation , visual assessment
-100.0 back propagation neural network , arabidopsis thaliana
-100.0 back propagation neural network , bundle branch block
-100.0 back propagation neural network , cancer classification
-100.0 back propagation neural network , clinical validation
-100.0 back propagation neural network , differential diagnosis
-100.0 back propagation neural network , gene selection
-100.0 back propagation neural network , hepatocellular carcinoma
-100.0 back propagation neural network , hot spot
-100.0 back propagation neural network , liver tissue
-100.0 back propagation neural network , protein secondary structure
-100.0 back propagation neural network , quality of life
-100.0 back propagation neural network , secondary structure
-100.0 back propagation neural network , secondary structure prediction
-100.0 back propagation neural network , structure prediction
-100.0 back propagation neural network , ultrasound images
-100.0 bag of words , clinical decision
-100.0 bag of words , clinical text
-100.0 bag of words , clinical trial
-100.0 bag of words , electronic health record
-100.0 bag of words , eye movement
-100.0 bag of words , suicide notes
-100.0 bag of words , systematic review
-100.0 bag of words , systematic reviews
-100.0 bayesian inference , brain function
-100.0 bayesian inference , breast cancer
-100.0 bayesian inference , cancer
-100.0 bayesian inference , celiac disease
-100.0 bayesian inference , clinical decision
-100.0 bayesian inference , clinical practice
-100.0 bayesian inference , gene ontology
-100.0 bayesian inference , missing data
-100.0 bayesian inference , toxicity
-100.0 bayesian model , activities of daily living
-100.0 bayesian model , anticancer drugs
-100.0 bayesian model , basal ganglia
-100.0 bayesian model , blood vessel
-100.0 bayesian model , blood vessels
-100.0 bayesian model , breast cancer diagnosis
-100.0 bayesian model , breast cancer screening
-100.0 bayesian model , breast imaging
-100.0 bayesian model , breast mass
-100.0 bayesian model , caenorhabditis elegans
-100.0 bayesian model , cancer risk
-100.0 bayesian model , cardiac mr
-100.0 bayesian model , cardiac surgery
-100.0 bayesian model , cardiovascular risk
-100.0 bayesian model , celiac disease
-100.0 bayesian model , cell viability
-100.0 bayesian model , cervical cancer
-100.0 bayesian model , chemical space
-100.0 bayesian model , chest wall
-100.0 bayesian model , chronic obstructive pulmonary disease
-100.0 bayesian model , clinical deterioration
-100.0 bayesian model , clinical markers
-100.0 bayesian model , clinical utility
-100.0 bayesian model , clustered microcalcifications
-100.0 bayesian model , community composition
-100.0 bayesian model , complex traits
-100.0 bayesian model , computer-assisted diagnosis
-100.0 bayesian model , copy number
-100.0 bayesian model , cortical surface
-100.0 bayesian model , deep brain stimulation
-100.0 bayesian model , diagnosis of cancer
-100.0 bayesian model , diagnostic classification
-100.0 bayesian model , diagnostic marker
-100.0 bayesian model , diagnostic test
-100.0 bayesian model , digital pathology
-100.0 bayesian model , dna sequencing
-100.0 bayesian model , down syndrome
-100.0 bayesian model , drug screening
-100.0 bayesian model , emotional state
-100.0 bayesian model , energy expenditure
-100.0 bayesian model , epidemiological studies
-100.0 bayesian model , escherichia coli
-100.0 bayesian model , event-related potentials
-100.0 bayesian model , eyes closed
-100.0 bayesian model , eyes open
-100.0 bayesian model , family history
-100.0 bayesian model , fine needle aspiration
-100.0 bayesian model , flow cytometry
-100.0 bayesian model , fluorescence in situ hybridization
-100.0 bayesian model , frontotemporal dementia
-100.0 bayesian model , gastric cancer
-100.0 bayesian model , gene networks
-100.0 bayesian model , gene selection
-100.0 bayesian model , gene sequencing
-100.0 bayesian model , genetic diversity
-100.0 bayesian model , genome sequencing
-100.0 bayesian model , germinal center
-100.0 bayesian model , gestational age
-100.0 bayesian model , gram-negative bacteria
-100.0 bayesian model , gray matter
-100.0 bayesian model , gut microbiota
-100.0 bayesian model , hard exudates
-100.0 bayesian model , human brain
-100.0 bayesian model , human error
-100.0 bayesian model , immune response
-100.0 bayesian model , in situ hybridization
-100.0 bayesian model , independent predictor
-100.0 bayesian model , kinase inhibitors
-100.0 bayesian model , land cover
-100.0 bayesian model , lesion segmentation
-100.0 bayesian model , low back pain
-100.0 bayesian model , lung disease
-100.0 bayesian model , lymph nodes
-100.0 bayesian model , major depressive disorder
-100.0 bayesian model , mechanism of action
-100.0 bayesian model , model organisms
-100.0 bayesian model , molecular classification
-100.0 bayesian model , molecular dynamics
-100.0 bayesian model , molecular imaging
-100.0 bayesian model , multiple sclerosis
-100.0 bayesian model , myocardial infarction
-100.0 bayesian model , noisy data
-100.0 bayesian model , objective measurement
-100.0 bayesian model , obstructive sleep apnea
-100.0 bayesian model , optic disc
-100.0 bayesian model , oxidative stress
-100.0 bayesian model , pain assessment
-100.0 bayesian model , parkinson disease
-100.0 bayesian model , pathological diagnosis
-100.0 bayesian model , physical examination
-100.0 bayesian model , primary visual cortex
-100.0 bayesian model , prognostic biomarker
-100.0 bayesian model , prognostic prediction
-100.0 bayesian model , protein data bank
-100.0 bayesian model , protein profiles
-100.0 bayesian model , protein subcellular localization
-100.0 bayesian model , qt interval
-100.0 bayesian model , radical prostatectomy
-100.0 bayesian model , raman spectra
-100.0 bayesian model , regulation of gene expression
-100.0 bayesian model , relevant variables
-100.0 bayesian model , renal cell carcinoma
-100.0 bayesian model , research database
-100.0 bayesian model , rheumatoid arthritis
-100.0 bayesian model , rna-protein interactions
-100.0 bayesian model , saccharomyces cerevisiae
-100.0 bayesian model , screening mammography
-100.0 bayesian model , skin lesions
-100.0 bayesian model , sleep disorders
-100.0 bayesian model , sleep efficiency
-100.0 bayesian model , smoking status
-100.0 bayesian model , subthalamic nucleus
-100.0 bayesian model , subtype classification
-100.0 bayesian model , suicide notes
-100.0 bayesian model , survival prediction
-100.0 bayesian model , t cells
-100.0 bayesian model , target protein
-100.0 bayesian model , tissue classification
-100.0 bayesian model , tissue microarray
-100.0 bayesian model , tissue properties
-100.0 bayesian model , treatment selection
-100.0 bayesian model , tumor heterogeneity
-100.0 bayesian model , ulcerative colitis
-100.0 bayesian model , unstructured data
-100.0 bayesian model , visual cortex
-100.0 bayesian model , whole blood
-100.0 bayesian network , age-related macular degeneration
-100.0 bayesian network , animal models
-100.0 bayesian network , binding site
-100.0 bayesian network , binding sites
-100.0 bayesian network , biological relevance
-100.0 bayesian network , biomedical research
-100.0 bayesian network , brain connectivity
-100.0 bayesian network , brain function
-100.0 bayesian network , cancer detection
-100.0 bayesian network , clinical research
-100.0 bayesian network , clinical text
-100.0 bayesian network , common diseases
-100.0 bayesian network , congestive heart failure
-100.0 bayesian network , copy number
-100.0 bayesian network , diagnostic accuracy
-100.0 bayesian network , diagnostic tools
-100.0 bayesian network , differentially expressed genes
-100.0 bayesian network , disease biomarkers
-100.0 bayesian network , drug design
-100.0 bayesian network , drug development
-100.0 bayesian network , drug resistance
-100.0 bayesian network , drug screening
-100.0 bayesian network , drug sensitivity
-100.0 bayesian network , drug target
-100.0 bayesian network , escherichia coli
-100.0 bayesian network , ethical issues
-100.0 bayesian network , facial expressions
-100.0 bayesian network , false positives
-100.0 bayesian network , fault diagnosis
-100.0 bayesian network , functional connectivity
-100.0 bayesian network , gene function
-100.0 bayesian network , gene interactions
-100.0 bayesian network , gene networks
-100.0 bayesian network , gene ontology
-100.0 bayesian network , gene selection
-100.0 bayesian network , genome annotation
-100.0 bayesian network , hepatitis c virus
-100.0 bayesian network , high-throughput data
-100.0 bayesian network , histone modification
-100.0 bayesian network , host response
-100.0 bayesian network , human diseases
-100.0 bayesian network , immune response
-100.0 bayesian network , in vivo
-100.0 bayesian network , liver transplantation
-100.0 bayesian network , lymph node
-100.0 bayesian network , lymph nodes
-100.0 bayesian network , medical image
-100.0 bayesian network , metabolic pathway
-100.0 bayesian network , mild cognitive impairment
-100.0 bayesian network , model organisms
-100.0 bayesian network , molecular descriptors
-100.0 bayesian network , molecular dynamics
-100.0 bayesian network , molecular marker
-100.0 bayesian network , molecular mechanism
-100.0 bayesian network , outcome prediction
-100.0 bayesian network , prognostic biomarker
-100.0 bayesian network , prognostic biomarkers
-100.0 bayesian network , prostate-specific antigen
-100.0 bayesian network , protein function
-100.0 bayesian network , protein secondary structure
-100.0 bayesian network , reference standard
-100.0 bayesian network , reverse transcriptase
-100.0 bayesian network , secondary structure
-100.0 bayesian network , secondary structure prediction
-100.0 bayesian network , stem cell
-100.0 bayesian network , structure prediction
-100.0 bayesian network , substance use
-100.0 bayesian network , survival prediction
-100.0 bayesian network , survival rate
-100.0 bayesian network , target prediction
-100.0 bayesian network , traditional chinese medicine
-100.0 bayesian network , transcription factor binding
-100.0 bayesian network , transcription factor binding sites
-100.0 bayesian network , treatment selection
-100.0 bayesian network , tumor volume
-100.0 bayesian network , visual field
-100.0 bayesian networks , animal models
-100.0 bayesian networks , brain connectivity
-100.0 bayesian networks , brain function
-100.0 bayesian networks , cancer detection
-100.0 bayesian networks , diabetes
-100.0 bayesian networks , diagnostic accuracy
-100.0 bayesian networks , diagnostic tools
-100.0 bayesian networks , differentially expressed genes
-100.0 bayesian networks , disease diagnosis
-100.0 bayesian networks , disease progression
-100.0 bayesian networks , escherichia coli
-100.0 bayesian networks , false positives
-100.0 bayesian networks , fault diagnosis
-100.0 bayesian networks , functional connectivity
-100.0 bayesian networks , gene interactions
-100.0 bayesian networks , gene selection
-100.0 bayesian networks , hepatitis c virus
-100.0 bayesian networks , hepatocellular carcinoma
-100.0 bayesian networks , heterogeneous data
-100.0 bayesian networks , in vivo
-100.0 bayesian networks , liver disease
-100.0 bayesian networks , liver transplantation
-100.0 bayesian networks , lung cancer
-100.0 bayesian networks , medical image
-100.0 bayesian networks , molecular descriptors
-100.0 bayesian networks , molecular marker
-100.0 bayesian networks , molecular mechanism
-100.0 bayesian networks , prognostic factor
-100.0 bayesian networks , prognostic factors
-100.0 bayesian networks , protein function
-100.0 bayesian networks , protein secondary structure
-100.0 bayesian networks , relevant variables
-100.0 bayesian networks , secondary structure
-100.0 bayesian networks , secondary structure prediction
-100.0 bayesian networks , single nucleotide polymorphism
-100.0 bayesian networks , structure prediction
-100.0 bayesian networks , survival prediction
-100.0 bayesian networks , survival rate
-100.0 bayesian networks , treatment selection
-100.0 bayesian networks , visual field
-100.0 big data , crystal structure
-100.0 big data , food and drug administration
-100.0 big data , health care providers
-100.0 big data , working memory
-100.0 big data analysis , food and drug administration
-100.0 big data analysis , patient safety
-100.0 binary classification , adipose tissue
-100.0 binary classification , alzheimer disease
-100.0 binary classification , bone marrow
-100.0 binary classification , chemical descriptors
-100.0 binary classification , circadian clock
-100.0 binary classification , ct colonography
-100.0 binary classification , differential diagnosis
-100.0 binary classification , disease biomarkers
-100.0 binary classification , estrogen receptor
-100.0 binary classification , gene function
-100.0 binary classification , gray matter volume
-100.0 binary classification , hepatocellular carcinoma
-100.0 binary classification , in vitro
-100.0 binary classification , intensive care
-100.0 binary classification , lesion segmentation
-100.0 binary classification , microarray analysis
-100.0 binary classification , mirna signature
-100.0 binary classification , missense mutations
-100.0 binary classification , mode of action
-100.0 binary classification , molecular descriptors
-100.0 binary classification , named entities
-100.0 binary classification , negative effects
-100.0 binary classification , neurological disorder
-100.0 binary classification , neurological disorders
-100.0 binary classification , renal cell carcinoma
-100.0 binary classification , response patterns
-100.0 binary classification , risk assessment
-100.0 binary classification , structural alerts
-100.0 binary classification , vessel segmentation
-100.0 binary classification , voxel-based morphometry
-100.0 binary classifier , air quality
-100.0 binary classifier , blood pressure
-100.0 binary classifier , blood-brain barrier
-100.0 binary classifier , brain cancer
-100.0 binary classifier , bundle branch block
-100.0 binary classifier , chemical properties
-100.0 binary classifier , chest radiographs
-100.0 binary classifier , clinical applications
-100.0 binary classifier , cognitive decline
-100.0 binary classifier , ct images
-100.0 binary classifier , dorsolateral prefrontal cortex
-100.0 binary classifier , drug resistance
-100.0 binary classifier , ethical issues
-100.0 binary classifier , false alarms
-100.0 binary classifier , frontal cortex
-100.0 binary classifier , frontotemporal dementia
-100.0 binary classifier , gene function
-100.0 binary classifier , gene regulation
-100.0 binary classifier , gray matter
-100.0 binary classifier , gray matter volume
-100.0 binary classifier , in vivo
-100.0 binary classifier , medial temporal lobe
-100.0 binary classifier , older adults
-100.0 binary classifier , orbitofrontal cortex
-100.0 binary classifier , plasmodium falciparum
-100.0 binary classifier , prefrontal cortex
-100.0 binary classifier , public health
-100.0 binary classifier , radiation therapy
-100.0 binary classifier , reverse transcriptase
-100.0 binary classifier , structure prediction
-100.0 binary classifier , sudden cardiac death
-100.0 binary classifier , suicide notes
-100.0 binary classifier , systolic blood pressure
-100.0 binary classifier , temporal lobe
-100.0 binary classifier , temporal lobe epilepsy
-100.0 binary classifier , transcription factor
-100.0 binary classifier , tumor classification
-100.0 binary classifier , ventricular fibrillation
-100.0 binary classifier , vital signs
-100.0 brain computer interface , brain function
-100.0 brain computer interface , disabled people
-100.0 brain computer interface , disorders of consciousness
-100.0 brain computer interface , eye movement
-100.0 brain computer interface , false alarms
-100.0 brain computer interface , false positives
-100.0 brain computer interface , individual variability
-100.0 brain computer interface , mental imagery
-100.0 brain computer interface , minimally conscious state
-100.0 brain computer interface , parietal cortex
-100.0 brain computer interface , spectral power
-100.0 brain computer interface , visual cortex
-100.0 brain imaging , adverse reactions
-100.0 brain imaging , biomarker panel
-100.0 brain imaging , body mass index
-100.0 brain imaging , common diseases
-100.0 brain imaging , computer-assisted diagnosis
-100.0 brain imaging , early detection
-100.0 brain imaging , gray matter volume
-100.0 brain imaging , neural representation
-100.0 brain imaging , regional homogeneity
-100.0 brain-computer interface , age groups
-100.0 brain-computer interface , autonomic nervous system
-100.0 brain-computer interface , blood flow
-100.0 brain-computer interface , blood pressure
-100.0 brain-computer interface , cerebral blood flow
-100.0 brain-computer interface , cognitive load
-100.0 brain-computer interface , corpus callosum
-100.0 brain-computer interface , electrodermal activity
-100.0 brain-computer interface , gene regulatory networks
-100.0 brain-computer interface , heart rate
-100.0 brain-computer interface , heart rate variability
-100.0 brain-computer interface , imaging modalities
-100.0 brain-computer interface , lower extremity
-100.0 brain-computer interface , magnetic field
-100.0 brain-computer interface , minimally conscious state
-100.0 brain-computer interface , neurodegenerative disease
-100.0 brain-computer interface , neuromuscular disorders
-100.0 brain-computer interface , neuronal activity
-100.0 brain-computer interface , physiological responses
-100.0 brain-computer interface , primary visual cortex
-100.0 brain-computer interface , response patterns
-100.0 brain-computer interface , skin conductance
-100.0 brain-computer interface , subarachnoid hemorrhage
-100.0 brain-computer interface , visual cortex
-100.0 brain-computer interface , visual field
-100.0 brain-computer interface , white matter
-100.0 canonical correlation analysis , diagnostic information
-100.0 canonical correlation analysis , diagnostic performance
-100.0 canonical correlation analysis , heterogeneous data
-100.0 canonical correlation analysis , in vivo
-100.0 canonical correlation analysis , medical imaging
-100.0 canonical correlation analysis , prognostic prediction
-100.0 canonical correlation analysis , white blood cells
-100.0 case-based reasoning , cancer treatment
-100.0 case-based reasoning , clinical diagnosis
-100.0 case-based reasoning , computer-assisted diagnosis
-100.0 case-based reasoning , diagnostic imaging
-100.0 case-based reasoning , early diagnosis
-100.0 case-based reasoning , health data
-100.0 case-based reasoning , intensive care
-100.0 case-based reasoning , interobserver variability
-100.0 case-based reasoning , liver disease
-100.0 case-based reasoning , medical imaging
-100.0 case-based reasoning , microarray analysis
-100.0 case-based reasoning , mortality prediction
-100.0 case-based reasoning , personal health
-100.0 case-based reasoning , skin lesions
-100.0 case-based reasoning , survival rate
-100.0 channel selection , hand movement
-100.0 channel selection , human brain
-100.0 channel selection , ion channel
-100.0 channel selection , seizure prediction
-100.0 classification , abdominal pain
-100.0 classification , asthma control
-100.0 classification , circadian clock
-100.0 classification , cord blood
-100.0 classification , cpg islands
-100.0 classification , ct colonography
-100.0 classification , mhc class ii
-100.0 classification , mitochondrial proteins
-100.0 classification , physiochemical properties
-100.0 classification , protein profiles
-100.0 classification , protein-dna interactions
-100.0 classification , secreted proteins
-100.0 classification , severe sepsis
-100.0 classifier design , autoimmune diseases
-100.0 classifier design , breast mass
-100.0 classifier design , cancer risk
-100.0 classifier design , cell segmentation
-100.0 classifier design , dna-binding proteins
-100.0 classifier design , gene regulatory networks
-100.0 classifier design , human body
-100.0 classifier design , hyperspectral images
-100.0 classifier design , inter-observer variability
-100.0 classifier design , magnetic resonance spectroscopy
-100.0 classifier design , medical image
-100.0 classifier design , neuromuscular disorders
-100.0 classifier design , peptide
-100.0 classifier design , protein sequence
-100.0 classifier design , protein sequences
-100.0 classifier design , protein structure
-100.0 classifier design , ultrasound images
-100.0 classifier design , vessel segmentation
-100.0 classifier ensemble , amino acid composition
-100.0 classifier ensemble , binding site
-100.0 classifier ensemble , binding sites
-100.0 classifier ensemble , blood plasma
-100.0 classifier ensemble , breast cancer diagnosis
-100.0 classifier ensemble , bundle branch block
-100.0 classifier ensemble , cancer diagnosis
-100.0 classifier ensemble , capsule endoscopy
-100.0 classifier ensemble , cell cycle
-100.0 classifier ensemble , cell proliferation
-100.0 classifier ensemble , clinical practice
-100.0 classifier ensemble , computed tomography
